number,name,diameter_km,H,G,epoch_tdb,e,a,i,node,peri,M,class,soln_date,U
123,Brunhild,45.209,8.96,,2461200.5,.1199041451750422,2.695344061269488,6.413146876422796,307.5999386674379,124.8341175581356,180.1635821968453,MBA,2026-06-05,0
124,Alkeste,88.648,8.05,0.19,2461200.5,.07846378845098508,2.629515665093543,2.96383495061372,187.8971509086081,61.49323554010876,95.49903626724242,MBA,2026-06-05,0
125,Liberatrix,48.418,8.92,0.33,2461200.5,.08151417201307483,2.742891744029814,4.66485568733381,168.9280328560068,109.4856145417567,8.546063281402263,MBA,2026-06-05,0
126,Velleda,44.82,9.23,,2461200.5,.1061489471820682,2.43962953904224,2.922408054612307,23.13885857779871,328.7541063370085,153.3076252784496,MBA,2026-06-05,0
127,Johanna,122,8.54,,2461200.5,.0632754568473793,2.756402877004801,8.237143620821612,31.09455361817447,92.85266700779705,125.1904575191814,MBA,2026-06-05,0
128,Nemesis,162.515,7.68,,2461200.5,.1268707614060766,2.750327691355737,6.246301989970132,76.15989375213259,302.7683538731977,275.1461727240684,MBA,2026-06-05,0
129,Antigone,113,7.02,0.33,2461200.5,.2131575114926357,2.867788583022361,12.27021816917761,135.6552244426148,110.4777359984817,108.2656594705436,MBA,2026-03-11,0
130,Elektra,180.652,7.46,,2461200.5,.2096684765168974,3.125302272050694,22.78450988881394,144.9648269581853,238.027045806016,49.04663070703022,MBA,2026-06-05,0
131,Vala,31.337,10.04,,2461200.5,.06954877478336613,2.431119923195368,4.963279242398653,65.55103866440304,161.2891563831589,144.2612488607099,MBA,2026-03-11,0
132,Aethra,42.87,8.96,,2461200.5,.3871141686509731,2.612002685821875,24.98148330819949,258.0437487537999,255.632875634003,159.7324924510207,MCA,2026-06-05,0
133,Cyrene,72.175,8.04,0.13,2461200.5,.1295230667429461,3.072836510774516,7.235116187386443,318.6282575661933,292.1725724983134,254.962225168835,MBA,2026-06-05,0
134,Sophrosyne,108,8.96,0.28,2461200.5,.1153262348033293,2.563471567306955,11.61228833155978,345.8308734198914,85.82919964627685,13.23172588930182,MBA,2026-06-05,0
135,Hertha,79.24,8.31,,2461200.5,.2083884612198237,2.427251046522813,2.30319417958446,343.4319249334569,340.2749368224194,295.3553080875124,MBA,2026-06-05,0
136,Austria,36.893,9.75,,2461200.5,.08532857725131238,2.286449766416843,9.580702561648982,186.3146100868764,133.3617363049229,237.4741529076876,MBA,2026-06-05,0
137,Meliboea,128.678,8.33,,2461200.5,.2100047189942301,3.129591003700741,13.41433107657229,202.0329126215729,108.3316026360394,142.1516633704787,MBA,2026-06-05,0
138,Tolosa,52.905,9.01,,2461200.5,.1625284898398051,2.450047153042661,3.197562550713191,54.62266159129301,261.3192297095741,193.4743205557293,MBA,2026-06-05,0
139,Juewa,151.116,8.04,,2461200.5,.1703250818880767,2.786030152394119,10.87118125521769,1.660093920054202,167.3696434264228,102.2720957576631,MBA,2026-06-05,0
140,Siwa,109.79,8.45,,2461200.5,.2182207811967379,2.73003581771527,3.191300989886099,107.0763458340524,197.2008956520598,264.9968417412214,MBA,2026-06-05,0
141,Lumen,117.916,8.38,,2461200.5,.2128941428962123,2.666115668912366,11.89581175732707,318.4383614092772,57.91532273854845,27.87169554899994,MBA,2026-06-05,0
142,Polana,54.812,10.52,,2461200.5,.1328207882615142,2.419192123784419,2.242554209440512,291.0582934673843,292.6747995110621,3.501640779154536,MBA,2026-06-05,0
